feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,16.0,96.3125,140.14285278320312,946.8571166992188,48.0,0,1,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.3125,243.85714721679688,1008.8571166992188,34.0,0,2,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.5625,277.28570556640625,1027.142822265625,32.0,0,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.25,74.71428680419922,881.8571166992188,29.0,0,4,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,108.5,157.42857360839844,958.2857055664062,60.0,0,5,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.1875,67.71428680419922,874.4285888671875,47.0,0,6,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,98.0625,70.71428680419922,878.0,44.0,0,7,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,16.0,96.3125,140.14285278320312,946.8571166992188,48.0,0,8,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,24.0,112.5,153.0,956.1428833007812,59.0,0,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.125,72.0,879.2857055664062,38.0,0,10,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,22.0,110.375,194.5714263916016,981.4285888671876,22.0,0,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.25,148.7142791748047,954.0,53.0,1,2,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,16.0,92.1875,150.57142639160156,955.2857055664062,55.0,1,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.625,185.14285278320312,975.1428833007812,34.0,1,4,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.25,149.7142791748047,954.4285888671876,54.0,1,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.5625,113.71428680419922,919.1428833007812,24.0,1,6,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,96.375,139.7142791748047,946.8571166992188,46.0,1,7,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,18.0,98.125,82.0,890.8571166992188,24.0,1,8,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,102.4375,142.7142791748047,949.0,52.0,1,9,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.375,145.42857360839844,951.0,54.0,1,10,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.3125,150.57142639160156,955.4285888671876,55.0,1,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,12.0,88.0625,150.42857360839844,954.8571166992188,55.0,2,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.0,71.14286041259766,878.2857055664062,42.0,2,4,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.375,151.7142791748047,955.8571166992188,55.0,2,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.1875,159.0,959.7142944335938,61.0,2,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,108.625,144.7142791748047,950.8571166992188,53.0,2,7,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,16.0,96.25,165.14285278320312,962.8571166992188,60.0,2,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.25,246.85714721679688,1010.0,34.0,2,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,24.0,108.625,167.0,964.7142944335938,57.0,2,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.125,69.14286041259766,875.8571166992188,46.0,2,11,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,14.0,90.375,141.0,947.2857055664062,52.0,3,4,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,26.0,114.75,185.42857360839844,975.7142944335938,34.0,3,5,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.375,171.0,967.4285888671876,48.0,3,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,86.1875,140.7142791748047,946.8571166992188,49.0,3,7,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,86.1875,140.7142791748047,946.8571166992188,50.0,3,8,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,104.1875,63.14285659790039,871.1428833007812,52.0,3,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.3125,148.0,953.4285888671876,50.0,3,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,18.0,98.375,231.42857360839844,1000.4285888671876,23.0,3,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,96.375,189.85714721679688,978.8571166992188,33.0,4,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,14.0,94.375,183.7142791748047,974.7142944335938,33.0,4,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,18.0,98.125,69.57142639160156,877.2857055664062,46.0,4,7,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.625,185.14285278320312,975.1428833007812,34.0,4,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,86.1875,140.7142791748047,946.8571166992188,50.0,4,9,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,14.0,94.3125,141.7142791748047,947.5714111328124,53.0,4,10,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,20.0,104.375,138.7142791748047,945.7142944335938,45.0,4,11,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,14.0,94.125,162.14285278320312,961.0,59.0,5,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,96.1875,149.0,954.0,54.0,5,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,20.0,100.25,150.57142639160156,955.1428833007812,55.0,5,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.5,171.85714721679688,967.7142944335938,50.0,5,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,14.0,94.125,166.14285278320312,963.4285888671876,57.0,5,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.1875,135.85714721679688,942.8571166992188,36.0,5,11,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,24.0,112.625,188.85714721679688,977.5714111328124,35.0,6,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,12.0,87.4375,13.571428298950195,833.4285888671875,53.0,6,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,102.4375,142.57142639160156,948.4285888671876,51.0,6,9,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.5625,274.1428527832031,1024.5714111328125,26.0,6,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,184.375,18.0,106.3125,148.0,953.1428833007812,50.0,6,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.125,67.57142639160156,874.4285888671875,47.0,7,8,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.125,72.28571319580078,880.1428833007812,35.0,7,9,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,14.0,90.375,139.42857360839844,946.2857055664062,46.0,7,10,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,114.6875,180.7142791748047,972.4285888671876,41.0,7,11,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,16.0,100.125,162.2857208251953,961.1428833007812,61.0,8,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,10.0,86.125,199.5714263916016,985.2857055664062,31.0,8,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,100.375,173.2857208251953,968.2857055664062,44.0,8,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,86.1875,140.7142791748047,946.8571166992188,49.0,9,10,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,18.0,98.375,190.42857360839844,979.2857055664062,29.0,9,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,18.0,102.375,169.14285278320312,966.1428833007812,51.0,10,11,8
