feat_max_apt_score_bin,feat_mean_apt_score_bin,feat_max_dataleak_score_bin,feat_mean_dataleak_score_bin,feat_max_dos_score_bin,feat_mean_dos_score_bin,feat_vim0_cpu_bin,feat_vim0_ram_bin,feat_vim1_cpu_bin,feat_vim1_ram_bin,feat_mean_remaining_mig_bin,feat_mean_remaining_reinst_bin,feat_total_ues_bin,ci,cj,action
0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,6
0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,8
0,0,0,0,0,0,2,2,0,0,1,1,1,0,3,5
0,0,0,0,0,0,1,1,0,0,1,1,1,0,4,3
0,0,0,0,0,0,1,1,1,1,1,1,1,0,5,3
0,0,0,0,0,0,1,1,1,1,0,0,1,0,6,8
0,0,0,0,0,0,2,2,0,0,1,1,0,0,7,5
0,0,0,0,0,0,0,0,2,1,0,0,2,0,8,4
0,0,0,0,0,0,1,1,2,1,1,1,1,0,9,8
0,0,0,0,0,0,1,1,2,1,0,0,2,0,10,8
0,0,0,0,0,0,1,1,1,1,0,0,2,0,11,3
0,0,0,0,0,0,2,2,0,0,2,2,0,1,2,7
0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,4
0,0,0,0,0,0,2,2,0,0,1,1,1,1,4,1
0,0,0,0,0,0,2,2,0,0,2,2,0,1,5,8
0,0,0,0,0,0,2,2,0,0,2,2,2,1,6,7
0,0,0,0,0,0,2,2,0,0,2,2,1,1,7,8
0,0,0,0,0,0,0,0,2,2,1,1,2,1,8,4
0,0,0,0,0,0,1,1,1,1,0,0,2,1,9,6
0,0,0,0,0,0,1,1,1,1,1,1,0,1,10,8
0,0,0,0,0,0,0,0,2,2,0,0,2,1,11,8
0,0,0,0,0,0,1,1,1,2,2,2,0,2,3,3
0,0,0,0,0,0,1,1,0,0,1,1,1,2,4,10
0,0,0,0,0,0,2,2,0,0,2,2,2,2,5,4
0,0,0,0,0,0,2,2,0,0,1,1,1,2,6,4
0,0,0,0,0,0,1,1,0,1,2,2,2,2,7,4
0,0,0,0,0,0,0,0,2,2,1,1,1,2,8,5
0,0,0,0,0,0,0,0,2,2,1,1,1,2,9,9
0,0,0,0,0,0,1,1,0,0,2,2,0,2,10,7
0,0,0,0,0,0,1,1,0,1,2,2,2,2,11,6
0,0,0,0,0,0,2,2,0,0,2,2,0,3,4,7
0,0,0,0,0,0,1,2,0,0,1,1,0,3,5,1
0,0,0,0,0,0,1,1,0,0,0,0,1,3,6,11
0,0,0,0,0,0,1,1,1,1,0,0,2,3,7,5
0,0,0,0,0,0,0,0,2,2,2,2,2,3,8,4
0,0,0,0,0,0,1,1,1,1,0,0,2,3,9,1
0,0,0,0,0,0,1,0,2,2,2,2,0,3,10,3
0,0,0,0,0,0,1,1,0,1,2,2,0,3,11,11
0,0,0,0,0,0,2,2,0,0,2,2,2,4,5,8
0,0,0,0,0,0,0,0,1,1,0,0,1,4,6,4
0,0,0,0,0,0,1,1,0,0,1,1,0,4,7,7
0,0,0,0,0,0,0,0,2,2,0,0,2,4,8,0
0,0,0,0,0,0,2,2,0,0,2,2,0,4,9,8
0,0,0,0,0,0,1,1,2,2,2,2,0,4,10,7
0,0,0,0,0,0,0,0,2,2,0,0,2,4,11,8
0,0,0,0,0,0,1,1,1,1,0,0,1,5,6,1
0,0,0,0,0,0,0,0,2,2,1,1,2,5,7,11
0,0,0,0,0,0,1,1,0,0,1,1,1,5,8,3
0,0,0,0,0,0,0,0,2,2,0,0,2,5,9,8
0,0,0,0,0,0,0,0,2,2,2,2,0,5,10,7
0,0,0,0,0,0,1,1,0,0,1,1,1,5,11,7
0,0,0,0,0,0,0,0,1,1,0,0,2,6,7,10
0,0,0,0,0,0,0,0,1,1,0,0,2,6,8,4
0,0,0,0,0,0,1,1,1,1,1,1,1,6,9,3
0,0,0,0,0,0,0,0,2,2,0,0,1,6,10,4
0,0,0,0,0,0,1,1,1,1,0,0,2,6,11,8
0,0,0,0,0,0,0,0,2,2,1,1,1,7,8,9
0,0,0,0,0,0,0,0,1,1,0,0,2,7,9,4
0,0,0,0,0,0,2,2,0,1,2,2,0,7,10,7
0,0,0,0,0,0,2,2,0,0,2,2,1,7,11,6
0,0,0,0,0,0,0,1,2,2,0,0,1,8,9,8
0,0,0,0,0,0,1,1,1,2,2,2,0,8,10,3
0,0,0,0,0,0,1,1,1,1,1,1,1,8,11,8
0,0,0,0,0,0,0,1,2,1,0,0,2,9,10,9
0,0,0,0,0,0,0,0,1,1,0,0,1,9,11,1
0,0,0,0,0,0,0,1,2,2,1,1,1,10,11,5
