feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.005461556,0.018859863,2.9029693603515625,4.82421875,0,1,6
0.081978932,0.010499137,0.053710938,2.982210397720337,5.0390625,0,2,4
0.081978932,0.0143042970448732,0.053619385,2.806150197982788,4.5859375,0,3,4
0.081978932,0.7815265655517578,5.40234375,2.8008487224578857,4.578125,0,4,2
0.081978932,0.7820311784744263,5.40234375,2.7994537353515625,4.578125,0,5,11
0.072893418,0.0150718688964843,0.065307617,2.7988955974578857,4.578125,0,6,0
0.081978932,0.7602530717849731,5.265625,2.7991747856140137,4.58203125,0,7,4
0.081978932,1.5522079467773438,5.421875,2.7991747856140137,4.58203125,0,8,11
0.081978932,0.0127397263422608,0.053466797,2.9328243732452397,4.90625,0,9,4
0.081978932,0.7778170704841614,5.40234375,2.810335397720337,4.578125,0,10,5
0.081978932,0.8125283122062683,5.40234375,2.8016858100891118,4.5859375,0,11,6
0.081978932,0.0402423329651355,0.190551758,2.8890185356140137,4.78515625,1,2,6
0.081978932,0.006535394,0.026107788,2.8560943603515625,4.6953125,1,3,7
0.081978932,0.0103645324707031,0.034118652,2.798337697982788,4.578125,1,4,6
0.081978932,1.5789648294448853,5.4140625,2.798616647720337,4.578125,1,5,2
0.081978932,2.3226606845855717,5.41796875,2.7994537353515625,4.578125,1,6,10
0.081978932,0.0384592339396476,0.19921875,2.9442639350891118,4.9375,1,7,6
0.081978932,0.0328756049275398,0.21105957,2.9093868732452397,4.83984375,1,8,2
0.081978932,0.003339767,0.003736496,3.0625674724578857,5.23046875,1,9,4
0.081978932,0.04033443,0.19140625,2.835726022720337,4.640625,1,10,8
0.081978932,0.0104800630360841,0.053375244,2.9914181232452397,5.0625,1,11,7
0.081978932,0.033160619,0.191040039,2.8613955974578857,4.7109375,2,3,5
0.081978932,0.010357447899878,0.027420044,2.8008487224578857,4.578125,2,4,2
0.081978932,0.014787401,0.053527832,2.8033599853515625,4.59375,2,5,8
0.081978932,0.037067957,0.19543457,2.8008487224578857,4.58203125,2,6,11
0.081978932,0.00623594,0.023788452,2.812009572982788,4.578125,2,7,11
0.081978932,0.0367012023925781,0.194580078,2.8019649982452397,4.58203125,2,8,2
0.081978932,0.0131334578618407,0.053771973,2.923337697982788,4.87890625,2,9,4
0.081978932,0.009820393,0.031036377,2.8008487224578857,4.578125,2,10,9
0.081978932,0.040540423,0.214599609,2.8619537353515625,4.7109375,2,11,2
0.081978932,0.7811745405197144,5.40234375,2.8008487224578857,4.578125,3,4,2
0.081978932,1.559832215309143,5.421875,2.798616647720337,4.578125,3,5,8
0.081978932,0.8887495398521423,5.4140625,2.7991747856140137,4.58203125,3,6,8
0.081978932,0.7816731333732605,5.40234375,2.798616647720337,4.578125,3,7,10
0.081978932,0.7805862426757812,5.40234375,2.8014068603515625,4.578125,3,8,9
0.081978932,0.032469612,0.191772461,2.896272897720337,4.8046875,3,9,8
0.081978932,0.0106356488540768,0.053771973,3.0357818603515625,5.171875,3,10,4
0.081978932,0.005909783,0.022186279,2.8387951850891118,4.6484375,3,11,8
0.081978932,0.7798279523849487,5.40625,2.7991747856140137,4.578125,4,5,8
0.081978932,0.0321900509297847,0.206054688,2.845491647720337,4.66796875,4,6,4
0.081978932,0.016908918,0.053741455,2.800290822982788,4.58203125,4,7,6
0.081978932,0.009828568,0.02281189,2.8008487224578857,4.578125,4,8,2
0.081978932,0.7814268469810486,5.40234375,2.7988955974578857,4.578125,4,9,11
0.081978932,0.017027719,0.053466797,2.8019649982452397,4.58984375,4,10,1
0.081978932,0.008748735,0.027175903,2.800569772720337,4.58984375,4,11,1
0.081978932,0.7806935906410217,5.40625,2.8008487224578857,4.578125,5,6,0
0.081978932,0.7812317609786987,5.40234375,2.798616647720337,4.578125,5,7,1
0.081978932,1.5514776706695557,5.41796875,2.7991747856140137,4.58203125,5,8,9
0.081978932,0.006746837,0.026580811,2.8558154106140137,4.6953125,5,9,8
0.081978932,0.060028348,0.19140625,2.823728322982788,4.60546875,5,10,5
0.081978932,0.0140726910904049,0.05368042,2.806150197982788,4.5859375,5,11,6
0.081978932,1.5798157453536987,5.42578125,2.798616647720337,4.578125,6,7,9
0.081978932,0.017035348,0.057037354,2.802243947982788,4.58203125,6,8,3
0.081978932,0.0155541552230715,0.053314209,2.800569772720337,4.58984375,6,9,9
0.018275669,0.009090424,0.015670776,2.798337697982788,4.578125,6,10,0
0.081978932,0.009828568,0.02281189,2.8008487224578857,4.578125,6,11,2
0.081978932,0.8066929578781128,5.40234375,2.8000118732452397,4.5859375,7,8,3
0.081978932,0.010504587,0.053527832,2.9894649982452397,5.05859375,7,9,7
0.081978932,0.7788464426994324,5.40234375,2.8030810356140137,4.578125,7,10,3
0.081978932,0.012238094,0.053283691,2.9286389350891118,4.89453125,7,11,4
0.081978932,0.0119261061772704,0.053771973,2.9459381103515625,4.94140625,8,9,2
0.081978932,1.5517466068267822,5.41015625,2.798337697982788,4.578125,8,10,4
0.081978932,0.032469612,0.191772461,2.896272897720337,4.8046875,8,11,8
0.081978932,0.0130389081314206,0.05368042,2.8831591606140137,4.76953125,9,10,8
0.081978932,0.010587147437036,0.053466797,3.019040822982788,5.13671875,9,11,6
0.081978932,0.014996119774878,0.053100586,2.8036389350891118,4.578125,10,11,6
